5,7,ì¬ö÷æ║.tif,889,,,ì¬ö÷æ║.tif,D_889.tif,154438388
1,2,î├ôc.tif,443,,,î├ôc.tif,D_443.tif,171938900
1,9,î▄ô·Äs.tif,898,,,î▄ô·Äs.tif,D_898.tif,192153270
6,10,ìÂÓV.tif,1129,,,ìÂÓV.tif,D_1129.tif,155395350
6,7,ìéÄR.tif,931,,,ìéÄR.tif,D_931.tif,153792614
6,8,ìéôcôîòö.tif,1034,,,ìéôcôîòö.tif,D_1034.tif,156739340
6,9,îKÉ▄.tif,1108,,,îKÉ▄.tif,D_1108.tif,154563618
4,3,îÓ.tif,668,,,îÓ.tif,D_668.tif,161255762
1,2,îóÄö.tif,553,,,îóÄö.tif,D_553.tif,168107932
5,7,ïÓÄR.tif,871,,,ïÓÄR.tif,D_871.tif,151106824
4,5,ìÔì¬.tif,809,,,ìÔì¬.tif,D_809.tif,154455030
5,6,îõì¦ÅèÄR.tif,788,,,îõì¦ÅèÄR.tif,D_788.tif,152839988
4,2,îÒôíÄø.tif,597,,,îÒôíÄø.tif,D_597.tif,154278218
5,7,îõû¹æ║.tif,768,,,îõû¹æ║.tif,D_768.tif,158152542
6,9,îSÄR.tif,1071,,,îSÄR.tif,D_1071.tif,154499432
5,5,ìüÅZ.tif,863,,,ìüÅZ.tif,D_863.tif,153650968
4,3,Ó_ôc.tif,750,NOTE – has same japanese filename as a file in new_batch_gap_sheets !?   BUT I think this is ok because that on has a different number ID/name,,Ó_ôc.tif,D_750.tif,154490134
4,3,ô·î┤.tif,703,,,ô·î┤.tif,D_703.tif,152938338
4,2,ö¬æÒ.tif,512,,,ö¬æÒ.tif,D_512.tif,154728856
1,8,ö¬èCÄR.tif,1037,,,ö¬èCÄR.tif,D_1037.tif,188314216
5,7,ö¬öª.tif,890,,,ö¬öª.tif,D_890.tif,153807272
1,4,ö¬öªÓ_.tif,587,,,ö¬öªÓ_.tif,D_587.tif,160186690
5,6,ö~ëY.tif,904,,,ö~ëY.tif,D_904.tif,154646336
1,10,ò─ÓV.tif,1106,,,ò─ÓV.tif,D_1106.tif,200448114
6,9,ò¢.tif,1044,,,ò¢.tif,D_1044.tif,157669266
